training-rmse,validation-rmse
2504164.111333451,2504196.638343612
1752915.4093887985,1752947.9386922726
1227041.1854333284,1227073.7141653374
858929.1291541902,858961.6582439329
601250.5639737985,601283.0930504109
420875.57167643885,420908.100935376
294612.99928628537,294645.52805051464
206229.15937252578,206261.68813581188
144360.4728752955,144393.00103500675
101052.34570905975,101084.87290162909
70736.73037275931,70769.25723290964
49515.763600797494,49548.28928106939
34661.02149134989,34693.545470322555
24262.66529003626,24295.18681367095
16983.893073001054,17015.786405804363
11888.703177175346,11915.84485953583
8322.077690709119,8345.474834103923
5825.415825031185,5845.575883914152
4077.749470540122,4094.244404014863
2854.445609163312,2867.7897754519972
1998.1143974934573,2008.7858774823148
1398.6956397580402,1407.4900821237368
979.0532934185161,985.7950167283993
685.3542757567552,690.5510855010862
479.7526104550263,483.82295153998155
335.869009740839,338.9482733933426
235.15079854685843,237.5131172069061
164.6781740228785,166.57019951970616
115.29223133397862,116.91568203587197
80.73325567566452,82.142204959291
56.58316745039907,57.7116656059481
39.665113778256824,40.67358991781724
27.85391615285963,28.744670837182994
19.66257264290357,20.458297864475732
13.992366973100975,14.81700869991384
10.11836701142852,10.968816839701951
7.552355033685941,8.434689192310755
5.890982262702833,6.775808065922709
4.851164924795989,5.737494247748236
4.236312245408737,5.09304119229894
3.901537689302008,4.7114835490824065
3.7505783130670283,4.525818332118198
3.6478239214592008,4.416187229155471
3.579469121090969,4.336814395155735
3.560487087891476,4.305098113549406
3.5536552315161005,4.298752182462945
3.5449099338788415,4.293767285296287
3.5382933027555,4.275179874262512
3.530510460433365,4.273660022380357
3.5104036778130734,4.261998869253989
